# Coordenadas de areas, gasoductos y plantas para el mapa.
# Areas: centroide de la concesion. Plantas y gasoductos: a mano.
# Las filas con lat/lon ya cargada NO se pisan al re-correr.
nombre,tipo,lat,lon,fuente,notas
JAGÜEL DE LOS MACHOS RN,area,-38.17439,-67.74526,centroide concesion,
JARILLA QUEMADA,area,-38.44615,-67.94236,centroide concesion,
LA AMARGA CHICA,area,-38.19168,-68.64111,centroide concesion,
LA ANGOSTURA SUR I,area,-38.73336,-68.6787,centroide concesion,
LA ANGOSTURA SUR II,area,-38.593,-68.66914,centroide concesion,
LA BREA,area,-35.50714,-69.75973,centroide concesion,
LA CALERA,area,-38.33914,-69.00548,centroide concesion,
LA ESCALONADA,area,-37.66561,-69.25308,centroide concesion,
LA RIBERA BLOQUE I,area,-38.43235,-69.01068,centroide concesion,
LA RIBERA BLOQUE II,area,-38.56646,-69.07571,centroide concesion,
LA YESERA,area,-38.82904,-67.91353,centroide concesion,
LAS BASES,area,-38.46624,-67.4305,centroide concesion,
LAS MANADAS,area,-37.77319,-68.98689,centroide concesion,
LAS TACANAS I,area,-38.6441,-69.50461,centroide concesion,
LAS TACANAS II,area,-38.69463,-69.34844,centroide concesion,
LINDERO ATRAVESADO,area,-38.67278,-68.46061,centroide concesion,
LINDERO DE PIEDRA,area,-35.39092,-69.31888,centroide concesion,
LLANCANELO,area,-35.66875,-69.215,centroide concesion,
LLANCANELO R,area,-35.66275,-69.19788,centroide concesion,
LOMA AMARILLA SUR,area,-37.87859,-68.7282,centroide concesion,
LOMA CAMPANA,area,-38.37327,-68.71442,centroide concesion,
LOMA GUADALOSA,area,-38.3834,-68.17516,centroide concesion,
LOMA JARILLOSA ESTE,area,-38.25419,-68.41891,centroide concesion,
LOMA LA LATA - SIERRA BARROSA,area,-38.58918,-68.79575,centroide concesion,
LOMA MONTOSA OESTE,area,-37.80444,-68.25472,centroide concesion,
LOMA NEGRA,area,-38.77443,-67.64509,centroide concesion,
LOMA NEGRA NI,area,-38.89826,-69.35202,centroide concesion,
LOS BASTOS,area,-38.90943,-68.64091,centroide concesion,
LOS CALDENES,area,-38.48151,-68.0549,centroide concesion,
LOS LEONES,area,-39.5722,-69.38516,centroide concesion,
LOS TOLDOS I NORTE,area,-37.62647,-69.44861,centroide concesion,
LOS TOLDOS I SUR,area,-37.7284,-69.36909,centroide concesion,
LOS TOLDOS II ESTE,area,-37.46528,-69.16393,centroide concesion,
LOS TOLDOS II OESTE,area,-37.44285,-69.24539,centroide concesion,
MATA MORA NORTE,area,-38.51795,-68.31572,centroide concesion,
MEDANITO,area,-38.02466,-67.54506,centroide concesion,
MEDANITO SUR,area,-38.18493,-67.46165,centroide concesion,
MEDIANERA,area,-37.87996,-67.91647,centroide concesion,
MESETA BUENA ESPERANZA I,area,-38.67346,-69.13823,centroide concesion,
MESETA BUENA ESPERANZA II,area,-38.68398,-69.00528,centroide concesion,
NARAMBUENA,area,-37.40827,-69.05891,centroide concesion,
NEUQUEN DEL MEDIO,area,-38.93331,-68.76851,centroide concesion,
OCTOGONO,area,-38.91753,-69.17569,centroide concesion,
OJO DE AGUA,area,-39.0779,-68.72805,centroide concesion,
PAMPA DE LAS YEGUAS I,area,-37.81221,-69.32775,centroide concesion,
PASO DE LAS BARDAS NORTE,area,-37.13495,-69.45162,centroide concesion,
PORTEZUELO MINAS,area,-38.99658,-69.3874,centroide concesion,
PUESTO CORTADERA,area,-39.1006,-69.38933,centroide concesion,
PUESTO FLORES - ESTANCIA VIEJA,area,-38.67675,-67.41216,centroide concesion,
PUESTO HERNANDEZ,area,-37.28269,-69.09467,centroide concesion,
PUESTO MORALES ESTE,area,-38.33088,-67.6209,centroide concesion,
PUESTO PARADA,area,-38.82674,-68.6257,centroide concesion,
PUESTO PRADO,area,-38.58233,-67.43959,centroide concesion,
PUESTO ROJAS,area,-35.29734,-69.69404,centroide concesion,
PUESTO SILVA OESTE,area,-38.40865,-68.28391,centroide concesion,
PUESTO SURVELIN,area,-38.5344,-67.29216,centroide concesion,
PUESTO TOUQUET,area,-39.02337,-69.09426,centroide concesion,
PUESTO ZUÑIGA,area,-38.80511,-67.79629,centroide concesion,
PUNTA SENILLOSA,area,-38.86473,-68.60599,centroide concesion,
RINCON DE ARANDA,area,-37.97826,-68.5667,centroide concesion,
RINCON DEL MANGRULLO,area,-38.59461,-69.32074,centroide concesion,
RINCON LA CENIZA,area,-37.84284,-69.21072,centroide concesion,
RINCONADA PUESTO MORALES RN,area,-38.2925,-67.54882,centroide concesion,
RIO NEUQUEN,area,-38.72654,-68.19495,centroide concesion,
SALINA GRANDE I,area,-38.2039,-67.17942,centroide concesion,
SAN ROQUE,area,-37.95435,-68.91521,centroide concesion,
SEÑAL CERRO BAYO,area,-37.62686,-68.72172,centroide concesion,
SEÑAL PICADA - PUNTA BARDA,area,-37.65044,-68.19727,centroide concesion,
SIERRA CHATA,area,-38.08005,-69.34465,centroide concesion,
SIERRAS BLANCAS,area,-38.52443,-68.42959,centroide concesion,
UMBRAL,area,-39.59476,-69.33423,centroide concesion,
VALLE DEL RIO GRANDE,area,-36.04543,-69.60093,centroide concesion,
VETA ESCONDIDA,area,-37.84806,-68.56433,centroide concesion,
VOLCAN AUCA MAHUIDA,area,-37.70884,-68.91222,centroide concesion,
BdP,gasoducto,,,,cargar a mano: no es una concesion
CO (Paralelo),gasoducto,,,,cargar a mano: no es una concesion
CO (Troncal),gasoducto,,,,cargar a mano: no es una concesion
GPA (a Chile),gasoducto,,,,cargar a mano: no es una concesion
GPA (a MEGA),gasoducto,,,,cargar a mano: no es una concesion
GPM,gasoducto,,,,cargar a mano: no es una concesion
NEUI,gasoducto,,,,cargar a mano: no es una concesion
NEUII,gasoducto,,,,cargar a mano: no es una concesion
Otros,gasoducto,,,,cargar a mano: no es una concesion
Pampa EM - BM,gasoducto,,,,cargar a mano: no es una concesion
Pampa SCH,gasoducto,,,,cargar a mano: no es una concesion
TOTAL - APE / ASR,gasoducto,,,,cargar a mano: no es una concesion
VMN,gasoducto,,,,cargar a mano: no es una concesion
VMS,gasoducto,,,,cargar a mano: no es una concesion
YPF - RDM,gasoducto,,,,cargar a mano: no es una concesion
MEGA,planta,,,,cargar a mano: no es una concesion
TBX El Porton,planta,,,,cargar a mano: no es una concesion
TTY,planta,,,,cargar a mano: no es una concesion
VM LIQ,planta,,,,cargar a mano: no es una concesion
